 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 101-478-855
127.0.0.1 - - [07/Dec/2025 11:55:06] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 11:55:56] "GET /create_order HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 11:55:56] "GET /admin/login HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:55:56] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 11:56:29] "POST /admin/login HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 11:56:29] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:56:29] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:56:29] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:56:35] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:56:35] "GET /static/js/calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:56:35] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:56:35] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:56:35] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:56:35] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:14] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:31] "POST /api/save-quote HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:31] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:31] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:33] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:33] "GET /static/js/orders.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:33] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:57:33] "GET /static/js/quotes.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:33] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:57:33] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:57:34] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:57:34] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /static/js/calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:09] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /static/js/calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:11] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 11:58:13] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:13] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:58:13] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:58:15] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:15] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:58:15] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:58:15] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:58:15] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:15] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:58:30] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:59:29] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:59:29] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:59:29] "GET /static/js/calculator.js?v=2.0 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:59:29] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 11:59:29] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:59:29] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 11:59:51] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:29] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:29] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:01:29] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:01:29] "GET /static/js/calculator.js?v=2.0 HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:01:29] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:29] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:42] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:45] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:45] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:45] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:45] "GET /static/js/calculator.js?v=2.0 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:46] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:46] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:01:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 12:02:01] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:02:15] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:02:15] "GET /static/js/calculator.js?v=2.0 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:02:15] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:02:15] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:02:15] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:02:15] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:02:41] "POST /api/calculate HTTP/1.1" 200 -
